name,description,path,UI Unit,Units matched to
Phosphate Rock,,Direct Use Commodity/Industrial Material/Industrial Rock/,Mt,AIMR
Pozzolan,,Direct Use Commodity/Industrial Material/Industrial Rock/,Mt,
Pumice,,Direct Use Commodity/Industrial Material/Industrial Rock/,Mt,
Shell Grit,,Direct Use Commodity/Industrial Material/Industrial Rock/,Mt,
Spongolite,,Direct Use Commodity/Industrial Material/Industrial Rock/,Mt,
Carbonaceous Material,,Direct Use Commodity/Industrial Material/Organic Material/,kt,
Gaseous Hydrocarbons,,Direct Use Commodity/Industrial Material/Organic Material/,km3,
Liquid Hydrocarbons,,Direct Use Commodity/Industrial Material/Organic Material/,m3,
Anthracite,,Direct Use Commodity/Industrial Material/Organic Material/Carbonaceous Material/,Mt,
Black Coal,,Direct Use Commodity/Industrial Material/Organic Material/Carbonaceous Material/,Mt,AIMR
Brown Coal,,Direct Use Commodity/Industrial Material/Organic Material/Carbonaceous Material/,Mt,
Coal,,Direct Use Commodity/Industrial Material/Organic Material/Carbonaceous Material/,Mt,
Peat,,Direct Use Commodity/Industrial Material/Organic Material/Carbonaceous Material/,Mt,
Coal Bed Methane,,Direct Use Commodity/Industrial Material/Organic Material/Gaseous Hydrocarbons/,km3,
Gas Hydrate,,Direct Use Commodity/Industrial Material/Organic Material/Gaseous Hydrocarbons/,km3,
Reservoir Gas,,Direct Use Commodity/Industrial Material/Organic Material/Gaseous Hydrocarbons/,km3,
Asphalt,,Direct Use Commodity/Industrial Material/Organic Material/Liquid Hydrocarbons/,,
Oil,,Direct Use Commodity/Industrial Material/Organic Material/Liquid Hydrocarbons/,,
Oil Shale,,Direct Use Commodity/Industrial Material/Organic Material/Liquid Hydrocarbons/,Mt,
Tar Sand,,Direct Use Commodity/Industrial Material/Organic Material/Liquid Hydrocarbons/,,
Foundry Sand,,Direct Use Commodity/Industrial Material/Sand/,Mt,
Frac Sand,,Direct Use Commodity/Industrial Material/Sand/,Mt,
Heavy Mineral Sand,,Direct Use Commodity/Industrial Material/Sand/,Mt,
Mineral Sand,,Direct Use Commodity/Industrial Material/Sand/,Mt,AIMR
Silica Sand,,Direct Use Commodity/Industrial Material/Sand/,Mt,
Aluminosilicate,,Direct Use Commodity/Industrial Mineral/,Mt,
Alunite,,Direct Use Commodity/Industrial Mineral/,kt,
Apatite,,Direct Use Commodity/Industrial Mineral/,kt,
Asbestos,,Direct Use Commodity/Industrial Mineral/,kt,
Baryte,,Direct Use Commodity/Industrial Mineral/,kt,
Borate,,Direct Use Commodity/Industrial Mineral/,kt,
Calcite,,Direct Use Commodity/Industrial Mineral/,kt,
Chlorite,,Direct Use Commodity/Industrial Mineral/,kt,
Chromite,,Direct Use Commodity/Industrial Mineral/,kt,
Clay,,Direct Use Commodity/Industrial Mineral/,kt,
Corundum,,Direct Use Commodity/Industrial Mineral/,kt,
Cryolite,,Direct Use Commodity/Industrial Mineral/,,
Diamond,,Direct Use Commodity/Industrial Mineral/,Mc,AIMR
Epsomite,,Direct Use Commodity/Industrial Mineral/,,
Evaporite,,Direct Use Commodity/Industrial Mineral/,,
Feldspar,,Direct Use Commodity/Industrial Mineral/,Mt,
Fluorite,,Direct Use Commodity/Industrial Mineral/,kt,
Garnet,,Direct Use Commodity/Industrial Mineral/,t,
Glauconite,,Direct Use Commodity/Industrial Mineral/,,
Graphite,,Direct Use Commodity/Industrial Mineral/,Mt,AIMR
Hematite,,Direct Use Commodity/Industrial Mineral/,Mt,
Ilmenite,,Direct Use Commodity/Industrial Mineral/,Mt,AIMR
Jarosite,,Direct Use Commodity/Industrial Mineral/,,
Leucoxene,,Direct Use Commodity/Industrial Mineral/,,
Magnetite,,Direct Use Commodity/Industrial Mineral/,Mt,
MgCO3,,Direct Use Commodity/Industrial Mineral/,Mt,AIMR
Mica,,Direct Use Commodity/Industrial Mineral/,kt,
Molybdenite,,Direct Use Commodity/Industrial Mineral/,kt,
Monazite,,Direct Use Commodity/Industrial Mineral/,,
Olivine,,Direct Use Commodity/Industrial Mineral/,t,
Pyrite,,Direct Use Commodity/Industrial Mineral/,Mt,
Quartz,,Direct Use Commodity/Industrial Mineral/,Mt,
Rutile,,Direct Use Commodity/Industrial Mineral/,Mt,AIMR
Saponite,,Direct Use Commodity/Industrial Mineral/,,
Sericite,,Direct Use Commodity/Industrial Mineral/,kt,
Serpentine,,Direct Use Commodity/Industrial Mineral/,,
SiO2,,Direct Use Commodity/Industrial Mineral/,Mt,
Spinel,,Direct Use Commodity/Industrial Mineral/,,
Staurolite,,Direct Use Commodity/Industrial Mineral/,kt,
Strontianite,,Direct Use Commodity/Industrial Mineral/,,
Talc,,Direct Use Commodity/Industrial Mineral/,Mt,
